作物编号,作物名称,作物类型,种植耕地,
1,黄豆,粮食（豆类）,平旱地;梯田;山坡地,
2,黑豆,粮食（豆类）,平旱地;梯田;山坡地,
3,红豆,粮食（豆类）,平旱地;梯田;山坡地,
4,绿豆,粮食（豆类）,平旱地;梯田;山坡地,
5,爬豆,粮食（豆类）,平旱地;梯田;山坡地,
6,小麦,粮食,平旱地;梯田;山坡地,
7,玉米,粮食,平旱地;梯田;山坡地,
8,谷子,粮食,平旱地;梯田;山坡地,
9,高粱,粮食,平旱地;梯田;山坡地,
10,黍子,粮食,平旱地;梯田;山坡地,
11,荞麦,粮食,平旱地;梯田;山坡地,
12,南瓜,粮食,平旱地;梯田;山坡地,
13,红薯,粮食,平旱地;梯田;山坡地,
14,莜麦,粮食,平旱地;梯田;山坡地,
15,大麦,粮食,平旱地;梯田;山坡地,
16,水稻,粮食,水浇地,
17,豇豆,蔬菜（豆类）,水浇地:第一季;普通大棚:第一季;智慧大棚:第一季 第二季,
18,刀豆,蔬菜（豆类）,水浇地:第一季;普通大棚:第一季;智慧大棚:第一季 第二季,
19,芸豆,蔬菜（豆类）,水浇地:第一季;普通大棚:第一季;智慧大棚:第一季 第二季,
20,土豆,蔬菜,水浇地:第一季;普通大棚:第一季;智慧大棚:第一季 第二季,
21,西红柿,蔬菜,水浇地:第一季;普通大棚:第一季;智慧大棚:第一季 第二季,
22,茄子,蔬菜,水浇地:第一季;普通大棚:第一季;智慧大棚:第一季 第二季,
23,菠菜,蔬菜,水浇地:第一季;普通大棚:第一季;智慧大棚:第一季 第二季,
24,青椒,蔬菜,水浇地:第一季;普通大棚:第一季;智慧大棚:第一季 第二季,
25,菜花,蔬菜,水浇地:第一季;普通大棚:第一季;智慧大棚:第一季 第二季,
26,包菜,蔬菜,水浇地:第一季;普通大棚:第一季;智慧大棚:第一季 第二季,
27,油麦菜,蔬菜,水浇地:第一季;普通大棚:第一季;智慧大棚:第一季 第二季,
28,小青菜,蔬菜,水浇地:第一季;普通大棚:第一季;智慧大棚:第一季 第二季,
29,黄瓜,蔬菜,水浇地:第一季;普通大棚:第一季;智慧大棚:第一季 第二季,
30,生菜,蔬菜,水浇地:第一季;普通大棚:第一季;智慧大棚:第一季 第二季,
31,辣椒,蔬菜,水浇地:第一季;普通大棚:第一季;智慧大棚:第一季 第二季,
32,空心菜,蔬菜,水浇地:第一季;普通大棚:第一季;智慧大棚:第一季 第二季,
33,黄心菜,蔬菜,水浇地:第一季;普通大棚:第一季;智慧大棚:第一季 第二季,
34,芹菜,蔬菜,水浇地:第一季;普通大棚:第一季;智慧大棚:第一季 第二季,
35,大白菜,蔬菜,水浇地:第二季,
36,白萝卜,蔬菜,水浇地:第二季,
37,红萝卜,蔬菜,水浇地:第二季,
38,榆黄菇,食用菌,普通大棚:第二季,
39,香菇,食用菌,普通大棚:第二季,
40,白灵菇,食用菌,普通大棚:第二季,
41,羊肚菌,食用菌,普通大棚:第二季,
