作物编号,作物名称,作物类型,种植耕地,说明
1,黄豆,粮食（豆类）,"平旱地

梯田

山坡地
","(1) 平旱地、梯田和山坡地每年适宜单季种植粮食类作物（水稻除外）。

(2) 水浇地每年可以单季种植水稻或两季种植蔬菜作物。

(3) 若在某块水浇地种植两季蔬菜，第一季可种植多种蔬菜（大白菜、白萝卜和红萝卜除外）；第二季只能种植大白菜、白萝卜和红萝卜中的一种（便于管理）。

(4) 根据季节性要求，大白菜、白萝卜和红萝卜只能在水浇地的第二季种植。

(5) 普通大棚每年种植两季作物，第一季可种植多种蔬菜（大白菜、白萝卜和红萝卜除外），第二季只能种植食用菌。

(6) 因食用菌类适应在较低且适宜的温度和湿度环境中生长，所以只能在秋冬季的普通大棚里种植。

(7) 智慧大棚每年都可种植两季蔬菜（大白菜、白萝卜和红萝卜除外）。
"
2,黑豆,粮食（豆类）,,
3,红豆,粮食（豆类）,,
4,绿豆,粮食（豆类）,,
5,爬豆,粮食（豆类）,,
6,小麦,粮食,,
7,玉米,粮食,,
8,谷子,粮食,,
9,高粱,粮食,,
10,黍子,粮食,,
11,荞麦,粮食,,
12,南瓜,粮食,,
13,红薯,粮食,,
14,莜麦,粮食,,
15,大麦,粮食,,
16,水稻,粮食,水浇地,
17,豇豆,蔬菜（豆类）,"水浇地    第一季

普通大棚  第一季

智慧大棚  第一季、第二季
",
18,刀豆,蔬菜（豆类）,,
19,芸豆,蔬菜（豆类）,,
20,土豆,蔬菜,,
21,西红柿,蔬菜,,
22,茄子,蔬菜,,
23,菠菜 ,蔬菜,,
24,青椒,蔬菜,,
25,菜花,蔬菜,,
26,包菜,蔬菜,,
27,油麦菜,蔬菜,,
28,小青菜,蔬菜,,
29,黄瓜,蔬菜,,
30,生菜 ,蔬菜,,
31,辣椒,蔬菜,,
32,空心菜,蔬菜,,
33,黄心菜,蔬菜,,
34,芹菜,蔬菜,,
35,大白菜,蔬菜,水浇地    第二季,
36,白萝卜,蔬菜,,
37,红萝卜,蔬菜,,
38,榆黄菇,食用菌,普通大棚  第二季,
39,香菇,食用菌,,
40,白灵菇,食用菌,,
41,羊肚菌,食用菌,,
,,,,
注：,(1) 水浇地的第一季通常是在每年的3月至6月前后，第二季是在7月至10月前后。,,,
,(2) 普通大棚的第一季通常是在每年的5月至9月前后，第二季是在9月至下一年4月前后。,,,
,(3) 智慧大棚的第一季通常是在每年的3月至7月前后，第二季是在8月至下一年的2月前后。,,,
