种植地块,作物编号,作物名称,作物类型,种植面积/亩,种植季次
A1,6,小麦,粮食,80.0,单季
A2,7,玉米,粮食,55.0,单季
A3,7,玉米,粮食,35.0,单季
A4,1,黄豆,粮食（豆类）,72.0,单季
A5,4,绿豆,粮食（豆类）,68.0,单季
A6,8,谷子,粮食,55.0,单季
B1,6,小麦,粮食,60.0,单季
B2,2,黑豆,粮食（豆类）,46.0,单季
B3,3,红豆,粮食（豆类）,40.0,单季
B4,4,绿豆,粮食（豆类）,28.0,单季
B5,5,爬豆,粮食（豆类）,25.0,单季
B6,8,谷子,粮食,86.0,单季
B7,6,小麦,粮食,55.0,单季
B8,8,谷子,粮食,44.0,单季
B9,9,高粱,粮食,50.0,单季
B10,10,黍子,粮食,25.0,单季
B11,1,黄豆,粮食（豆类）,60.0,单季
B12,7,玉米,粮食,45.0,单季
B13,14,莜麦,粮食,35.0,单季
B14,15,大麦,粮食,20.0,单季
C1,11,荞麦,粮食,15.0,单季
C2,12,南瓜,粮食,13.0,单季
C3,1,黄豆,粮食（豆类）,15.0,单季
C4,13,红薯,粮食,18.0,单季
C5,6,小麦,粮食,27.0,单季
C6,3,红豆,粮食（豆类）,20.0,单季
D1,20,土豆,蔬菜 ,15.0,第一季
,36,白萝卜,蔬菜 ,15.0,第二季
D2,28,小青菜,蔬菜 ,10.0,第一季
,35,大白菜,蔬菜 ,10.0,第二季
D3,21,西红柿,蔬菜 ,14.0,第一季
,35,大白菜,蔬菜 ,14.0,第二季
D4,22,茄子,蔬菜 ,6.0,第一季
,35,大白菜,蔬菜 ,6.0,第二季
D5,17,豇豆,蔬菜（豆类）,10.0,第一季
,36,白萝卜,蔬菜 ,10.0,第二季
D6,18,刀豆,蔬菜（豆类）,12.0,第一季
,37,红萝卜,蔬菜 ,12.0,第二季
D7,16,水稻,粮食,22.0,单季
D8,16,水稻,粮食,20.0,单季
E1,18,刀豆,蔬菜（豆类）,0.6,第一季
,38,榆黄菇,食用菌,0.6,第二季
E2,24,青椒,蔬菜 ,0.6,第一季
,38,榆黄菇,食用菌,0.6,第二季
E3,25,菜花,蔬菜 ,0.6,第一季
,38,榆黄菇,食用菌,0.6,第二季
E4,26,包菜,蔬菜 ,0.6,第一季
,39,香菇,食用菌,0.6,第二季
E5,28,小青菜,蔬菜 ,0.6,第一季
,39,香菇,食用菌,0.6,第二季
E6,27,油麦菜,蔬菜 ,0.6,第一季
,39,香菇,食用菌,0.6,第二季
E7,19,芸豆,蔬菜（豆类）,0.6,第一季
,40,白灵菇,食用菌,0.6,第二季
E8,19,芸豆,蔬菜（豆类）,0.6,第一季
,40,白灵菇,食用菌,0.6,第二季
E9,18,刀豆,蔬菜（豆类）,0.6,第一季
,40,白灵菇,食用菌,0.6,第二季
E10,17,豇豆,蔬菜（豆类）,0.6,第一季
,41,羊肚菌,食用菌,0.6,第二季
E11,17,豇豆,蔬菜（豆类）,0.6,第一季
,41,羊肚菌,食用菌,0.6,第二季
E12,22,茄子,蔬菜 ,0.6,第一季
,41,羊肚菌,食用菌,0.6,第二季
E13,21,西红柿,蔬菜 ,0.6,第一季
,41,羊肚菌,食用菌,0.6,第二季
E14,29,黄瓜,蔬菜 ,0.6,第一季
,41,羊肚菌,食用菌,0.6,第二季
E15,30,生菜,蔬菜 ,0.3,第一季
,27,油麦菜,蔬菜 ,0.3,第一季
,41,羊肚菌,食用菌,0.6,第二季
E16,31,辣椒,蔬菜 ,0.6,第一季
,41,羊肚菌,食用菌,0.6,第二季
F1,32,空心菜,蔬菜 ,0.3,第一季
,33,黄心菜,蔬菜 ,0.3,第一季
,24,青椒,蔬菜 ,0.3,第二季
,21,西红柿,蔬菜 ,0.3,第二季
F2,25,菜花,蔬菜 ,0.3,第一季
,26,包菜,蔬菜 ,0.3,第一季
,22,茄子,蔬菜 ,0.3,第二季
,29,黄瓜,蔬菜 ,0.3,第二季
F3,17,豇豆,蔬菜（豆类）,0.6,第一季
,28,小青菜,蔬菜 ,0.3,第二季
,30,生菜 ,蔬菜 ,0.3,第二季
F4,19,芸豆,蔬菜（豆类）,0.6,第一季
,34,芹菜,蔬菜 ,0.3,第二季
,23,菠菜 ,蔬菜 ,0.3,第二季
